,street,county,state,zip
109251,754  9TH CT W BIRMINGHAM,Jefferson County,AL,352042928
109252,734  9TH CT W BIRMINGHAM,Jefferson County,AL,352042928
109253,737  9TH AVE W BIRMINGHAM,Jefferson County,AL,352042936
109254,1220  5TH AVE W BIRMINGHAM,Jefferson County,AL,352084910
109255,1204  5TH AVE W BIRMINGHAM,Jefferson County,AL,352084910
109256,500  12TH ST W BIRMINGHAM,Jefferson County,AL,352084918
109257,1525  BUSH BLVD W BIRMINGHAM,Jefferson County,AL,352084924
109258,1532  5TH AVE W BIRMINGHAM,Jefferson County,AL,352084916
109259,1621  BUSH BLVD W BIRMINGHAM,Jefferson County,AL,352084223
109260,1624  5TH AVE W BIRMINGHAM,Jefferson County,AL,352084221
109261,1703  BUSH BLVD W BIRMINGHAM,Jefferson County,AL,352084218
109262,472  17TH ST W BIRMINGHAM,Jefferson County,AL,35208
109263,1616  4TH TER W BIRMINGHAM,Jefferson County,AL,352084216
109264,1612  4TH TER W BIRMINGHAM,Jefferson County,AL,352084216
109265,1604  4TH TER W BIRMINGHAM,Jefferson County,AL,352084216
109266,1527  5TH AVE W BIRMINGHAM,Jefferson County,AL,352084915
109267,1520  4TH TER W BIRMINGHAM,Jefferson County,AL,352085346
109268,1516  4TH TER W BIRMINGHAM,Jefferson County,AL,352085346
109269,1425  5TH AVE W BIRMINGHAM,Jefferson County,AL,352084913
109270,1309  5TH AVE W BIRMINGHAM,Jefferson County,AL,352084911
109271,1327  5TH AVE W BIRMINGHAM,Jefferson County,AL,352084911
109272,1212  4TH TER W BIRMINGHAM,Jefferson County,AL,352085333
109273,1315  4TH TER W BIRMINGHAM,Jefferson County,AL,352085336
109274,1413  4TH TER W BIRMINGHAM,Jefferson County,AL,352085340
109275,1420  4TH CT W BIRMINGHAM,Jefferson County,AL,352085318
109276,1511  4TH TER W BIRMINGHAM,Jefferson County,AL,352085345
109277,1525  4TH TER W BIRMINGHAM,Jefferson County,AL,352085345
109278,1712  4TH CT W BIRMINGHAM,Jefferson County,AL,352084214
109279,856  8TH ST W BIRMINGHAM,Jefferson County,AL,352043521
109280,911  8TH AVE W BIRMINGHAM,Jefferson County,AL,35204
109281,933  8TH AVE W BIRMINGHAM,Jefferson County,AL,352045015
109282,30  10TH AVE N BIRMINGHAM,Jefferson County,AL,352043223
109283,17  10TH CT W BIRMINGHAM,Jefferson County,AL,352043212
109284,101  10TH AVE W BIRMINGHAM,Jefferson County,AL,352043133
109285,129  10TH AVE W BIRMINGHAM,Jefferson County,AL,352043133
109286,109  10TH AVE N BIRMINGHAM,Jefferson County,AL,352043224
109287,970  2ND ST N BIRMINGHAM,Jefferson County,AL,352043763
109288,974  2ND ST N BIRMINGHAM,Jefferson County,AL,352043775
109289,232  9TH CT N BIRMINGHAM,Jefferson County,AL,352043759
109290,968  3RD ST N BIRMINGHAM,Jefferson County,AL,352043758
